,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
kappa[0],0.0199494192,0.0004967748,0.0190116306,0.0208826802,3.8331e-06,2.7105e-06,16778.8007300988,18364.4483465913,1.000126174
gamma[0],0.1290928433,0.0027119263,0.1241600497,0.1343141425,2.07037e-05,1.46399e-05,17146.7709022923,19150.1888993553,1.0000003368
prob[0],0.8146580933,0.0045309934,0.8063585818,0.8234199735,2.9891e-05,2.11364e-05,23007.9686282806,20882.2309827738,0.9999602356
prob[1],0.6808850631,0.0039317109,0.6735204995,0.6882329339,2.53668e-05,1.79375e-05,24048.2020870276,20855.7716037352,0.9999876472
prob[2],0.5047320828,0.0010751003,0.5027303077,0.5067740308,8.1523e-06,5.7648e-06,17387.4950005555,18763.2631331116,1.0000951456
prob[3],0.1894927678,0.0053550437,0.1798058175,0.1998532206,4.26088e-05,3.01497e-05,15810.049821366,17494.6279407285,1.0000274842
prob[4],0.6464830012,0.0086459065,0.6296383212,0.6621919301,6.21094e-05,4.39284e-05,19371.8309637149,19867.0614905407,1.0000621112
prob[5],0.9936487874,0.0006270253,0.992475455,0.9948260882,4.3064e-06,3.0451e-06,21371.9930619973,20565.7578062436,0.9999499066
prob[6],0.3207742142,0.0057132732,0.3104514779,0.3318377642,4.67312e-05,3.30561e-05,14951.6930046632,16860.526880545,1.000092639
prob[7],0.7428955403,0.0039606707,0.7352627203,0.7501730886,2.79555e-05,1.97678e-05,20087.1554868476,20535.1928677826,0.9999641695
prob[8],0.4205733952,0.002577716,0.4158643301,0.4255183529,2.10675e-05,1.4899e-05,14974.9793998097,17112.1076077586,1.0000770439
prob[9],0.4191176942,0.0020585246,0.4152857299,0.4229910361,1.65708e-05,1.17187e-05,15431.7650074855,17312.2055186291,1.000076692
prob[10],0.8448892239,0.0049408613,0.8356150585,0.8541624604,3.18973e-05,2.25551e-05,24021.0072376868,21253.5815369403,0.9999828034
prob[11],0.5423556441,0.0025754433,0.5373526952,0.5470450755,1.84652e-05,1.30581e-05,19454.767910608,19971.057367758,1.0000514154
prob[12],0.9647995237,0.0023367791,0.9602564689,0.9690410083,1.52796e-05,1.08044e-05,23464.0977738814,20985.9565663599,0.9999504989
prob[13],0.6029055245,0.0029819864,0.597298065,0.6084714838,1.96762e-05,1.39141e-05,22990.955201755,20763.6238805407,1.0000378034
prob[14],0.8633373854,0.0051706407,0.8536051985,0.8729629328,3.33577e-05,2.35877e-05,24055.0441174391,20971.2938337149,0.999984174
prob[15],0.9855922399,0.0011950062,0.9833191167,0.9877938608,8.8598e-06,6.2649e-06,18398.0987422916,19913.8821736293,1.0000111734
prob[16],0.8286514694,0.0044366867,0.8202457122,0.8369843923,2.9892e-05,2.11371e-05,22062.0610084664,20663.3154192648,0.9999717957
prob[17],0.5577295832,0.0019665565,0.5540885098,0.561456149,1.32132e-05,9.3435e-06,22177.4329370444,20943.6121047908,1.0000424931
prob[18],0.4920512985,0.0011278839,0.4899237171,0.4941711111,8.9199e-06,6.3077e-06,15985.5117871296,18027.5736761041,1.0001835561
prob[19],0.5270065326,0.0044728205,0.5186270386,0.5354160139,3.36697e-05,2.38113e-05,17635.8677166714,18841.6519556169,1.0000927565
