,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sd_kappa_hyper,0.6720187396,0.1075919758,0.4731929807,0.8705420773,0.0005290952,0.0003820156,40691.3786370595,31158.6804242,1.0000672255
kappa[0],0.3660552855,0.084994756,0.2162522429,0.5226896607,0.0004028441,0.0002988207,47251.865150693,35400.6113178368,1.0001294242
kappa[1],0.0962990652,0.023675248,0.0536951482,0.1417778942,0.0001035607,7.32289e-05,49347.9275723888,30066.8043115256,1.0000119409
kappa[2],1.6286367997,0.393169359,0.9339167681,2.3942688631,0.0019669442,0.0013908497,38633.802237955,31352.1928556276,0.9999956592
kappa[3],1.4108482662,0.2825986274,0.8944052724,1.9441558112,0.0013533589,0.0009569756,42526.9411172489,34173.9029880259,1.0000512749
gamma[0],0.0110844618,0.0024030778,0.0067535665,0.0156096059,1.08344e-05,7.7002e-06,48152.5195818971,36280.6602763695,1.0000184303
gamma[1],0.010948941,0.0026064626,0.0061904769,0.0157652219,1.20505e-05,8.5211e-06,45135.1822011731,35685.9180535055,1.0001254369
gamma[2],0.0061388448,0.0012953107,0.0038057997,0.0086051603,5.8382e-06,4.1283e-06,47624.7686774102,36067.9582615971,1.0000781607
gamma[3],0.0072427806,0.0016219577,0.0043565267,0.0103582128,7.2005e-06,5.0915e-06,48964.2931604815,35099.7511125386,0.9999513719
prob[0],0.0018945205,0.0033580725,1.118e-07,0.0066363164,1.88064e-05,1.36214e-05,49003.6436656608,35426.5273129059,1.0001033882
prob[1],0.0044256349,0.0063001212,1.2581e-06,0.0143265347,3.46087e-05,2.57874e-05,49148.3753928897,35804.3706639238,1.0001186021
prob[2],0.0008342989,0.0018192294,9.9e-09,0.0030653445,1.03046e-05,7.3172e-06,48905.2375644056,35573.8421170368,1.0000849832
prob[3],0.7603732029,0.0792803028,0.6120710117,0.9028214369,0.0003706662,0.0002621023,46912.0174644463,33896.9824463834,1.0001573866
prob[4],0.7959579642,0.0748264011,0.6575701502,0.9302087515,0.0003551484,0.0002511295,46426.2038003103,33401.9855330167,1.0001541202
prob[5],0.0005593779,0.0013485282,3e-09,0.0020841975,7.6677e-06,5.4219e-06,48860.3140532762,35786.8356414284,1.0000838763
prob[6],0.1595332933,0.0662703617,0.0466775006,0.2824754886,0.0003068533,0.0002420481,53174.7136066908,34660.482228359,1.0000471019
prob[7],0.8806669689,0.0586136588,0.7709574463,0.9769222702,0.0002899177,0.0002050043,45955.5907310246,33073.9653573266,1.0001284683
prob[8],0.8167357036,0.0716750749,0.6826458135,0.942713162,0.0003433536,0.0002427893,46211.5994531877,33034.0627064762,1.0001608842
prob[9],0.9980383899,0.0032476284,0.9930857466,0.9999998738,1.79227e-05,1.26734e-05,48152.5195818971,36280.6602763695,1.0000743101
prob[10],0.0261983356,0.0224746537,0.0005773572,0.0659755511,0.0001161285,9.19724e-05,49743.5096761568,35057.6421763634,1.0000672032
prob[11],0.7203771098,0.0831171776,0.5674043558,0.873683632,0.0003817633,0.0002699491,47644.0111726652,34808.9433323158,1.0001618438
prob[12],0.0954358718,0.0422954908,0.0235898459,0.1732233647,0.0002057512,0.0001578647,46102.2249801367,34896.2892003899,1.0000792998
prob[13],0.8542432733,0.0647199865,0.7350893001,0.9660725582,0.0003156678,0.0002232124,45951.6915800792,32833.6471601651,1.0001291047
prob[14],0.8348694683,0.0468733044,0.7468731963,0.92012759,0.0002154276,0.0001523312,48152.5195818971,36280.6602763695,1.0000395835
prob[15],0.4296808409,0.0304698202,0.3722732418,0.4869225993,0.0001382631,9.96934e-05,53560.2572223027,35530.9716541714,1.000013867
